date,close,open,high,low,volume,•Ï‰»—¦ %
2021/5/9,18.81,17.34,28.93,17.07,,12.70%
2021/5/2,16.69,18.65,21.85,16.68,,-10.32%
2021/4/25,18.61,17.94,19.25,16.67,,7.39%
2021/4/18,17.33,17.04,19.9,16.78,,6.65%
2021/4/11,16.25,17.43,17.91,15.38,,-2.64%
2021/4/4,16.69,18.16,18.4,16.2,,-3.69%
2021/3/28,17.33,20.4,21.75,17.29,,-8.11%
2021/3/21,18.86,21.91,23.55,18.68,,-9.98%
2021/3/14,20.95,21.84,23.17,18.95,,1.26%
2021/3/7,20.69,27.61,28.39,20.63,,-16.10%
2021/2/28,24.66,25.2,31.9,22.45,,-11.77%
2021/2/21,27.95,24.46,31.16,21.31,,26.76%
2021/2/14,22.05,21.13,24.23,20.84,,10.42%
2021/2/7,19.97,21.89,23.85,19.69,,-4.31%
2021/1/31,20.87,31.45,33.96,20.86,,-36.93%
2021/1/24,33.09,22.31,37.51,22.2,,51.03%
2021/1/17,21.91,23.03,23.73,21.09,,-9.98%
2021/1/10,24.34,23.31,25.8,21.66,,12.89%
2021/1/3,21.56,23.04,29.19,21.42,,-5.23%
2020/12/27,22.75,22.11,23.72,20.99,,5.67%
2020/12/20,21.53,24.25,31.46,21.39,,-0.19%
2020/12/13,21.57,22.67,24.82,21.52,,-7.46%
2020/12/6,23.31,22.04,25.14,20.1,,12.12%
2020/11/29,20.79,22.64,22.89,19.97,,-0.24%
2020/11/22,20.84,23.66,23.96,19.51,,-12.07%
2020/11/15,23.7,23.66,24.52,21.66,,2.60%
2020/11/8,23.1,24.8,27.27,22.41,,-7.08%
2020/11/1,24.86,38.57,38.78,24.56,,-34.61%
2020/10/25,38.02,29.38,41.16,29.22,,38.00%
2020/10/18,27.55,27.36,30.55,27.04,,0.51%
2020/10/11,27.41,25.65,29.06,24.14,,9.64%
2020/10/4,25,29.52,30,24.03,,-9.52%
2020/9/27,27.63,27.15,29.9,24.9,,4.74%
2020/9/20,26.38,28.04,31.18,25.19,,2.13%
2020/9/13,25.83,25.86,28.92,24.84,,-3.87%
2020/9/6,26.87,30.61,35.93,26.51,,-12.62%
2020/8/30,30.75,23.91,38.28,21.77,,33.93%
2020/8/23,22.96,22.87,27.09,20.92,,1.86%
2020/8/16,22.54,22.52,24.6,20.99,,2.22%
2020/8/9,22.05,22.88,24.93,20.28,,-0.72%
2020/8/2,22.21,25.75,26.01,20.97,,-9.20%
2020/7/26,24.46,26.6,28.29,23.55,,-5.34%
2020/7/19,25.84,26.94,28.58,23.6,,0.62%
2020/7/12,25.68,27.85,33.67,25.41,,-5.90%
2020/7/5,27.29,27.76,31.48,24.92,,-1.41%
2020/6/28,27.68,35.05,36.31,25.9,,-20.30%
2020/6/21,34.73,35.22,37.12,29.26,,-1.11%
2020/6/14,35.12,44.09,44.44,30.4,,-2.69%
2020/6/7,36.09,25.56,44.16,24.65,,47.19%
2020/5/31,24.52,28.94,30.6,23.54,,-10.87%
2020/5/24,27.51,27.72,30.53,25.92,,-2.31%
2020/5/17,28.16,30.71,31.55,27.67,,-11.70%
2020/5/10,31.89,28.46,39.28,26,,13.97%
2020/5/3,27.98,39.13,40.32,27.89,,-24.76%
2020/4/26,37.19,36.29,39.57,30.54,,3.51%
2020/4/19,35.93,40.68,47.77,35.6,,-5.82%
2020/4/12,38.15,44.6,45.04,37.31,,-8.45%
2020/4/5,41.67,44.17,47.51,41.39,,-10.96%
2020/3/29,46.8,66.3,67.69,46.74,,-28.59%
2020/3/22,65.54,74.08,76.74,36.24,,-0.76%
2020/3/15,66.04,57.83,85.47,57.42,,14.20%
2020/3/8,57.83,41.94,77.57,41.94,,37.89%
2020/3/1,41.94,34.86,54.39,24.93,,4.56%
2020/2/23,40.11,22.25,49.48,22,,134.84%
2020/2/16,17.08,14.98,18.21,14.21,,24.85%
2020/2/9,13.68,15.88,16.43,13.38,,-11.57%
2020/2/2,15.47,18.64,18.88,14.7,,-17.89%
2020/1/26,18.84,17.42,19.99,14.94,,29.40%
2020/1/19,14.56,13.23,15.98,12.31,,20.33%
2020/1/12,12.1,12.84,13.82,11.75,,-3.66%
2020/1/5,12.56,15.45,16.39,12.09,,-10.41%
2019/12/29,14.02,13.74,16.2,12.42,,4.39%
2019/12/22,13.43,12.81,13.72,11.72,,7.35%
2019/12/15,12.51,12.47,12.78,11.71,,-0.95%
2019/12/8,12.63,14.25,16.9,12.25,,-7.27%
2019/12/1,13.62,12.69,17.99,12.55,,7.92%
2019/11/24,12.62,12.51,12.83,11.42,,2.27%
2019/11/17,12.34,12.39,14.17,12.16,,2.41%
2019/11/10,12.05,13.15,13.9,11.92,,-0.17%
2019/11/3,12.07,12.68,13.39,12,,-1.87%
2019/10/27,12.3,13.01,13.95,12.19,,-2.77%
2019/10/20,12.65,14.24,15.12,12.62,,-11.23%
2019/10/13,14.25,15.66,16.5,13.31,,-8.54%
2019/10/6,15.58,18.27,20.38,15.11,,-8.57%
2019/9/29,17.04,17.23,21.46,15.79,,-1.05%
2019/9/22,17.22,15.35,18.69,14.33,,12.40%
2019/9/15,15.32,14.89,15.84,13.31,,11.50%
2019/9/8,13.74,15.26,16.52,13.51,,-8.40%
2019/9/1,15,20.96,21.15,14.91,,-20.97%
2019/8/25,18.98,20.34,21.64,17.09,,-4.48%
2019/8/18,19.87,17.93,21.07,15.51,,7.58%
2019/8/11,18.47,17.87,24.1,17.52,,2.78%
2019/8/4,17.97,19.96,24.81,16.82,,2.04%
2019/7/28,17.61,12.15,20.11,12.15,,44.82%
2019/7/21,12.16,14.55,14.7,11.69,,-15.85%
2019/7/14,14.45,12.58,14.5,12.24,,16.63%
2019/7/7,12.39,13.73,14.71,12.28,,-6.70%
2019/6/30,13.28,13.85,14.64,12.04,,-11.94%
2019/6/23,15.08,15.46,16.68,15.08,,-2.08%
2019/6/16,15.4,15.65,16.03,13.19,,0.79%
2019/6/9,15.28,16.3,16.7,15.21,,-6.26%
2019/6/2,16.3,19.41,19.75,15.33,,-12.88%
2019/5/26,18.71,16.55,19.72,15.9,,18.04%
2019/5/19,15.85,15.88,18.05,14.42,,-0.69%
2019/5/12,15.96,18.62,21.32,14.86,,-0.50%
2019/5/5,16.04,12.89,23.38,12.89,,24.63%
2019/4/28,12.87,13.04,15.92,12.65,,1.10%
2019/4/21,12.73,13.21,14.3,12.08,,5.29%
2019/4/14,12.09,12.46,13.14,11.03,,0.67%
2019/4/7,12.01,13.55,14.39,11.95,,-6.32%
2019/3/31,12.82,13.9,14.27,12.17,,-6.49%
2019/3/24,13.71,17.76,17.85,13.64,,-16.81%
2019/3/17,16.48,13.13,17.52,12.37,,27.95%
