date,close,open,high,low,volume,•Ï‰»—¦ %
2023/8/15,"31,905.00","32,365.00","32,385.00","31,877.50",30.26K,-1.38%
2023/8/14,"32,350.00","32,455.00","32,602.50","32,012.50",37.48K,-0.80%
2023/8/11,"32,610.00","32,485.00","32,810.00","32,465.00",22.10K,0.15%
2023/8/10,"32,560.00","32,280.00","32,560.00","32,010.00",48.49K,1.01%
2023/8/9,"32,235.00","32,225.00","32,350.00","32,225.00",0.03K,-0.25%
2023/8/8,"32,315.00","32,390.00","32,390.00","32,260.00",0.02K,-0.02%
2023/8/7,"32,320.00","32,110.00","32,320.00","31,800.00",54.53K,0.45%
2023/8/4,"32,175.00","31,955.00","31,955.00","31,955.00",0.01K,0.61%
2023/8/3,"31,980.00","32,320.00","32,430.00","31,662.50",52.99K,-1.24%
2023/8/2,"32,382.50","33,105.00","33,115.00","32,252.50",58.51K,-2.15%
2023/8/1,"33,095.00","33,250.00","33,470.00","33,012.50",36.76K,-0.46%
2023/7/31,"33,247.50","33,080.00","33,387.50","32,995.00",59.95K,1.36%
2023/7/28,"32,800.00","32,495.00","32,510.00","32,470.00",0.01K,-0.33%
2023/7/27,"32,910.00","32,605.00","32,935.00","32,385.00",33.17K,0.94%
2023/7/26,"32,605.00","32,655.00","32,710.00","32,460.00",24.40K,-0.15%
2023/7/25,"32,655.00","32,620.00","32,755.00","32,485.00",27.70K,-0.11%
2023/7/24,"32,690.00","32,622.50","32,820.00","32,487.50",41.34K,1.22%
2023/7/21,"32,295.00","32,380.00","32,495.00","32,055.00",40.74K,-0.32%
2023/7/20,"32,400.00","32,990.00","33,045.00","32,385.00",41.52K,-1.76%
2023/7/19,"32,980.00","32,360.00","32,980.00","32,330.00",49.76K,1.79%
2023/7/18,"32,400.00","32,350.00","32,700.00","32,090.00",68.26K,1.19%
2023/7/17,"32,020.00","32,260.00","32,490.00","32,087.50",,-0.37%
2023/7/14,"32,140.00","32,530.00","32,850.00","32,200.00",76.60K,-1.14%
2023/7/13,"32,510.00","31,895.00","32,560.00","31,810.00",61.23K,1.83%
2023/7/12,"31,925.00","32,225.00","32,390.00","31,765.00",44.35K,-0.95%
2023/7/11,"32,230.00","32,140.00","32,460.00","32,055.00",37.78K,0.34%
2023/7/10,"32,120.00","32,410.00","32,665.00","32,035.00",54.75K,-0.99%
2023/7/7,"32,440.00","32,725.00","32,725.00","32,220.00",50.89K,0.05%
2023/7/6,"32,425.00","32,995.00","33,042.50","32,222.50",53.42K,-2.73%
2023/7/5,"33,335.00","33,280.00","34,205.00","33,165.00",0.01K,0.57%
2023/7/4,"33,145.00","33,445.00","33,515.00","33,135.00",44.80K,-1.57%
2023/7/3,"33,675.00","33,280.00","33,675.00","33,280.00",0.05K,1.42%
2023/6/30,"33,205.00","33,280.00","33,280.00","33,060.00",0.01K,0.41%
2023/6/29,"33,070.00","33,280.00","33,517.50","33,065.00",50.64K,-0.55%
